artist_normalized,artist,avg_popularity,song_count,danceability,energy,valence,tempo,instrumentalness,year,category,nominee,listeners,playcount,tags
,,78.0,1,0.733,0.598,0.831,118.012,1.7e-05,,,,,,
2pac,,79.0,1,0.801,0.91,0.805,87.277,0.000891,,,,,,
3 doors down,,80.0,4,0.545,0.865,0.543,99.009,1.1e-05,,,,3164235.0,72956648.0,"rock, alternative rock, alternative, hard rock, 3 Doors Down"
5 seconds of summer,,80.0,2,0.6759999999999999,0.651,0.2915,129.6525,1.935e-06,,,,1872979.0,157301651.0,"pop rock, pop punk, rock, pop, australian"
50 cent,,83.0,1,0.899,0.713,0.777,90.051,0.0,,,,4233561.0,88568044.0,"rap, Hip-Hop, Gangsta Rap, hip hop, 50 Cent"
80purppp,,79.0,2,0.845,0.398,0.482,109.996,0.00713,,,,,,
aaryan shah,,79.0,1,0.551,0.561,0.207,103.118,0.367,,,,,,
abba,,81.0,3,0.6703333333333333,0.761,0.7513333333333333,117.815,0.0033640000000000002,,,,3621228.0,140328574.0,"pop, Disco, 70s, swedish, 80s"
acdc,,83.25,8,0.50725,0.8165,0.51,141.124375,0.005810125,,,,4953.0,129871.0,"hard rock, classic rock, Rock and Roll, rock, heavy metal"
adele,Adele,80.76470588235294,17,0.5307058823529411,0.5208235294117648,0.2957,119.09535294117646,1.9764705882352942e-07,2016.0,Record Of The Year,Hello,4926433.0,258258244.0,"soul, female vocalists, british, singer-songwriter, indie"
adele,Adele,80.76470588235294,17,0.5307058823529411,0.5208235294117648,0.2957,119.09535294117646,1.9764705882352942e-07,2016.0,Album Of The Year,25,4926433.0,258258244.0,"soul, female vocalists, british, singer-songwriter, indie"
adele,Adele,80.76470588235294,17,0.5307058823529411,0.5208235294117648,0.2957,119.09535294117646,1.9764705882352942e-07,2016.0,Best Pop Solo Performance,Hello,4926433.0,258258244.0,"soul, female vocalists, british, singer-songwriter, indie"
adele,Adele,80.76470588235294,17,0.5307058823529411,0.5208235294117648,0.2957,119.09535294117646,1.9764705882352942e-07,2016.0,Best Pop Vocal Album,25,4926433.0,258258244.0,"soul, female vocalists, british, singer-songwriter, indie"
